04-20-2025 16:12:35 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@1508,0%@729,0%@729,1%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.5C soc2@53.343C soc0@52.343C gpu@54.031C tj@54.5C soc1@54.031C VDD_IN 5405mW/5412mW VDD_CPU_GPU_CV 608mW/622mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:36 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1406,2%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.375C soc2@53.5C soc0@52.281C gpu@54.031C tj@54.562C soc1@54.187C VDD_IN 5405mW/5411mW VDD_CPU_GPU_CV 608mW/622mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:37 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1394,0%@729,4%@729,1%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.375C soc2@53.375C soc0@52.125C gpu@53.906C tj@54.375C soc1@54.187C VDD_IN 5405mW/5411mW VDD_CPU_GPU_CV 608mW/621mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:38 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [0%@1510,2%@1510,0%@1434,2%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.625C soc2@53.312C soc0@52.281C gpu@54C tj@54.625C soc1@54.062C VDD_IN 5405mW/5411mW VDD_CPU_GPU_CV 608mW/621mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:39 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@1379,0%@729,0%@729,1%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.531C soc2@53.5C soc0@52.093C gpu@53.968C tj@54.531C soc1@54.218C VDD_IN 5405mW/5411mW VDD_CPU_GPU_CV 608mW/621mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:40 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1510,0%@729,1%@729,1%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.437C soc2@53.343C soc0@52.093C gpu@53.937C tj@54.437C soc1@54.093C VDD_IN 5405mW/5411mW VDD_CPU_GPU_CV 608mW/621mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:41 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1392,1%@729,0%@729,1%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.656C soc2@53.281C soc0@52.218C gpu@54.031C tj@54.656C soc1@54.062C VDD_IN 5405mW/5411mW VDD_CPU_GPU_CV 608mW/620mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:42 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@729,2%@729,4%@729,2%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.437C soc2@53.375C soc0@52.156C gpu@54.156C tj@54.437C soc1@54.156C VDD_IN 5405mW/5411mW VDD_CPU_GPU_CV 608mW/620mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:43 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [3%@1390,0%@729,1%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.375C soc2@53.312C soc0@52.125C gpu@54.125C tj@54.375C soc1@54.187C VDD_IN 5405mW/5411mW VDD_CPU_GPU_CV 608mW/620mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:44 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@729,2%@729,1%@729,3%@729,3%@729,2%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.906C soc2@53.343C soc0@52.218C gpu@54.156C tj@54.906C soc1@54.062C VDD_IN 5405mW/5410mW VDD_CPU_GPU_CV 608mW/620mW VDD_SOC 1544mW/1544mW
